,Country,Year,Energy
974,Algeria,1975,0.25
975,Egypt,1975,0.45
976,Morocco,1975,0.15
977,South Africa,1975,1.99
978,Eastern Africa,1975,0.63
979,Middle Africa,1975,0.20
980,Western Africa,1975,0.47
981,Other Northern Africa,1975,0.21
982,Other Southern Africa,1975,0.01
983,Australia,1975,2.61
984,Bangladesh,1975,0.08
985,China,1975,13.25
986,China Hong Kong SAR,1975,0.20
987,India,1975,3.50
988,Indonesia,1975,0.58
989,Japan,1975,13.99
990,Malaysia,1975,0.22
991,New Zealand,1975,0.46
992,Pakistan,1975,0.39
993,Philippines,1975,0.44
994,Singapore,1975,0.31
995,South Korea,1975,0.96
996,Sri Lanka,1975,0.07
997,Taiwan,1975,0.64
998,Thailand,1975,0.40
999,Vietnam,1975,0.25
1000,Other Asia Pacific,1975,1.28
1001,Canada,1976,8.63
1002,Mexico,1976,2.28
1003,United States of America,1976,73.36
1004,Argentina,1976,1.52
1005,Brazil,1976,3.07
1006,Chile,1976,0.33
1007,Colombia,1976,0.57
1008,Ecuador,1976,0.09
1009,Peru,1976,0.35
1010,Trinidad & Tobago,1976,0.19
1011,Venezuela,1976,1.17
1012,Central America,1976,0.30
1013,Other Caribbean,1976,1.20
1014,Other South America,1976,0.23
1015,Austria,1976,1.05
1016,Belgium,1976,1.98
1017,Bulgaria,1976,1.01
1018,Croatia,1976,-
1019,Cyprus,1976,0.03
1020,Czech Republic,1976,2.18
1021,Denmark,1976,0.83
1022,Estonia,1976,-
1023,Finland,1976,0.81
1024,France,1976,7.71
1025,Germany,1976,14.46
1026,Greece,1976,0.79
1027,Hungary,1976,1.04
1028,Iceland,1976,0.05
1029,Ireland,1976,0.31
1030,Italy,1976,6.01
1031,Latvia,1976,-
1032,Lithuania,1976,-
1033,Luxembourg,1976,0.15
1034,Netherlands,1976,3.23
1035,North Macedonia,1976,-
1036,Norway,1976,1.30
1037,Poland,1976,4.63
1038,Portugal,1976,0.38
1039,Romania,1976,2.24
1040,Slovakia,1976,0.68
1041,Slovenia,1976,-
1042,Spain,1976,2.83
1043,Sweden,1976,2.03
1044,Switzerland,1976,0.95
1045,Turkey,1976,0.95
1046,Ukraine,1976,-
1047,United Kingdom,1976,8.77
1048,Other Europe,1976,1.40
1049,Azerbaijan,1976,-
1050,Belarus,1976,-
1051,Kazakhstan,1976,-
1052,Russian Federation,1976,-
1053,Turkmenistan,1976,-
1054,Uzbekistan,1976,-
1055,Other CIS,1976,-
1056,Iran,1976,1.32
1057,Iraq,1976,0.24
1058,Israel,1976,0.28
1059,Kuwait,1976,0.30
1060,Oman,1976,0.05
1061,Qatar,1976,0.05
1062,Saudi Arabia,1976,1.05
1063,United Arab Emirates,1976,0.11
1064,Other Middle East,1976,0.47
1065,Algeria,1976,0.30
1066,Egypt,1976,0.54
1067,Morocco,1976,0.16
1068,South Africa,1976,2.08
1069,Eastern Africa,1976,0.68
1070,Middle Africa,1976,0.20
1071,Western Africa,1976,0.53
1072,Other Northern Africa,1976,0.25
1073,Other Southern Africa,1976,0.02
1074,Australia,1976,2.70
1075,Bangladesh,1976,0.09
1076,China,1976,13.95
1077,China Hong Kong SAR,1976,0.23
1078,India,1976,3.67
1079,Indonesia,1976,0.60
1080,Japan,1976,14.50
1081,Malaysia,1976,0.24
1082,New Zealand,1976,0.47
1083,Pakistan,1976,0.40
1084,Philippines,1976,0.46
1085,Singapore,1976,0.37
1086,South Korea,1976,1.07
1087,Sri Lanka,1976,0.07
1088,Taiwan,1976,0.78
1089,Thailand,1976,0.42
1090,Vietnam,1976,0.14
1091,Other Asia Pacific,1976,1.36
1092,Canada,1977,9.13
1093,Mexico,1977,2.41
1094,United States of America,1977,75.22
1095,Argentina,1977,1.59
1096,Brazil,1977,3.29
1097,Chile,1977,0.34
1098,Colombia,1977,0.59
1099,Ecuador,1977,0.10
1100,Peru,1977,0.35
1101,Trinidad & Tobago,1977,0.20
1102,Venezuela,1977,1.30
1103,Central America,1977,0.31
1104,Other Caribbean,1977,1.26
1105,Other South America,1977,0.24
1106,Austria,1977,1.05
1107,Belgium,1977,1.98
1108,Bulgaria,1977,1.07
1109,Croatia,1977,-
1110,Cyprus,1977,0.04
1111,Czech Republic,1977,2.25
1112,Denmark,1977,0.85
1113,Estonia,1977,-
1114,Finland,1977,0.85
1115,France,1977,7.82
1116,Germany,1977,14.43
1117,Greece,1977,0.82
1118,Hungary,1977,1.09
1119,Iceland,1977,0.05
1120,Ireland,1977,0.33
1121,Italy,1977,6.03
1122,Latvia,1977,-
1123,Lithuania,1977,-
1124,Luxembourg,1977,0.14
1125,Netherlands,1977,3.17
1126,North Macedonia,1977,-
1127,Norway,1977,1.19
1128,Poland,1977,4.83
1129,Portugal,1977,0.43
1130,Romania,1977,2.38
1131,Slovakia,1977,0.72
1132,Slovenia,1977,-
1133,Spain,1977,2.94
1134,Sweden,1977,2.00
1135,Switzerland,1977,1.05
1136,Turkey,1977,1.04
1137,Ukraine,1977,-
1138,United Kingdom,1977,8.94
1139,Other Europe,1977,1.51
1140,Azerbaijan,1977,-
1141,Belarus,1977,-
1142,Kazakhstan,1977,-
1143,Russian Federation,1977,-
1144,Turkmenistan,1977,-
1145,Uzbekistan,1977,-
1146,Other CIS,1977,-
1147,Iran,1977,1.49
1148,Iraq,1977,0.25
1149,Israel,1977,0.29
1150,Kuwait,1977,0.30
1151,Oman,1977,0.05
1152,Qatar,1977,0.08
1153,Saudi Arabia,1977,1.24
1154,United Arab Emirates,1977,0.18
1155,Other Middle East,1977,0.52
1156,Algeria,1977,0.32
1157,Egypt,1977,0.58
1158,Morocco,1977,0.18
1159,South Africa,1977,2.13
1160,Eastern Africa,1977,0.69
1161,Middle Africa,1977,0.21
1162,Western Africa,1977,0.59
1163,Other Northern Africa,1977,0.28
1164,Other Southern Africa,1977,0.02
1165,Australia,1977,2.83
1166,Bangladesh,1977,0.09
1167,China,1977,15.21
1168,China Hong Kong SAR,1977,0.25
1169,India,1977,3.88
1170,Indonesia,1977,0.80
1171,Japan,1977,14.60
1172,Malaysia,1977,0.29
1173,New Zealand,1977,0.48
1174,Pakistan,1977,0.43
1175,Philippines,1977,0.49
1176,Singapore,1977,0.37
1177,South Korea,1977,1.23
1178,Sri Lanka,1977,0.07
1179,Taiwan,1977,0.86
1180,Thailand,1977,0.46
1181,Vietnam,1977,0.15
1182,Other Asia Pacific,1977,1.43
1183,Canada,1978,9.30
1184,Mexico,1978,2.71
1185,United States of America,1978,76.89
1186,Argentina,1978,1.59
1187,Brazil,1978,3.62
1188,Chile,1978,0.36
1189,Colombia,1978,0.63
1190,Ecuador,1978,0.11
1191,Peru,1978,0.35
1192,Trinidad & Tobago,1978,0.20
1193,Venezuela,1978,1.33
1194,Central America,1978,0.33
1195,Other Caribbean,1978,1.29
1196,Other South America,1978,0.27
1197,Austria,1978,1.10
1198,Belgium,1978,2.07
1199,Bulgaria,1978,1.10
1200,Croatia,1978,-
1201,Cyprus,1978,0.04
1202,Czech Republic,1978,2.28
1203,Denmark,1978,0.86
1204,Estonia,1978,-
1205,Finland,1978,0.89
1206,France,1978,8.17
1207,Germany,1978,14.95
1208,Greece,1978,0.83
1209,Hungary,1978,1.17
1210,Iceland,1978,0.06
1211,Ireland,1978,0.34
1212,Italy,1978,6.18
1213,Latvia,1978,-
1214,Lithuania,1978,-
1215,Luxembourg,1978,0.15
1216,Netherlands,1978,3.24
1217,North Macedonia,1978,-
1218,Norway,1978,1.34
1219,Poland,1978,5.07
1220,Portugal,1978,0.45
1221,Romania,1978,2.56
1222,Slovakia,1978,0.75
1223,Slovenia,1978,-
1224,Spain,1978,2.95
1225,Sweden,1978,2.33
1226,Switzerland,1978,1.04
1227,Turkey,1978,1.10
1228,Ukraine,1978,-
1229,United Kingdom,1978,8.99
1230,Other Europe,1978,1.64
1231,Azerbaijan,1978,-
1232,Belarus,1978,-
1233,Kazakhstan,1978,-
1234,Russian Federation,1978,-
1235,Turkmenistan,1978,-
1236,Uzbekistan,1978,-
1237,Other CIS,1978,-
1238,Iran,1978,1.46
1239,Iraq,1978,0.25
1240,Israel,1978,0.32
1241,Kuwait,1978,0.33
1242,Oman,1978,0.06
1243,Qatar,1978,0.07
1244,Saudi Arabia,1978,1.39
1245,United Arab Emirates,1978,0.21
1246,Other Middle East,1978,0.57
1247,Algeria,1978,0.41
1248,Egypt,1978,0.61
1249,Morocco,1978,0.20
1250,South Africa,1978,2.11
1251,Eastern Africa,1978,0.67
1252,Middle Africa,1978,0.24
1253,Western Africa,1978,0.62
1254,Other Northern Africa,1978,0.31
1255,Other Southern Africa,1978,0.03
1256,Australia,1978,2.92
1257,Bangladesh,1978,0.10
1258,China,1978,16.68
1259,China Hong Kong SAR,1978,0.26
1260,India,1978,4.04
1261,Indonesia,1978,0.90
1262,Japan,1978,15.21
1263,Malaysia,1978,0.38
1264,New Zealand,1978,0.48
1265,Pakistan,1978,0.46
1266,Philippines,1978,0.51
1267,Singapore,1978,0.38
1268,South Korea,1978,1.38
1269,Sri Lanka,1978,0.08
1270,Taiwan,1978,1.01
1271,Thailand,1978,0.49
1272,Vietnam,1978,0.16
1273,Other Asia Pacific,1978,1.50
1274,Canada,1979,9.58
1275,Mexico,1979,3.00
1276,United States of America,1979,77.70
1277,Argentina,1979,1.71
1278,Brazil,1979,3.93
1279,Chile,1979,0.37
1280,Colombia,1979,0.67
1281,Ecuador,1979,0.11
1282,Peru,1979,0.36
1283,Trinidad & Tobago,1979,0.18
1284,Venezuela,1979,1.47
1285,Central America,1979,0.34
1286,Other Caribbean,1979,1.33
1287,Other South America,1979,0.28
1288,Austria,1979,1.16
1289,Belgium,1979,2.13
1290,Bulgaria,1979,1.15
1291,Croatia,1979,-
1292,Cyprus,1979,0.04
1293,Czech Republic,1979,2.31
1294,Denmark,1979,0.86
1295,Estonia,1979,-
1296,Finland,1979,0.96
1297,France,1979,8.41
1298,Germany,1979,15.78
1299,Greece,1979,0.73
1300,Hungary,1979,1.16
1301,Iceland,1979,0.06
1302,Ireland,1979,0.37
1303,Italy,1979,6.37
1304,Latvia,1979,-
1305,Lithuania,1979,-
1306,Luxembourg,1979,0.15
1307,Netherlands,1979,3.34
1308,North Macedonia,1979,-
1309,Norway,1979,1.43
1310,Poland,1979,5.14
1311,Portugal,1979,0.48
1312,Romania,1979,2.61
1313,Slovakia,1979,0.78
1314,Slovenia,1979,-
1315,Spain,1979,3.18
1316,Sweden,1979,2.45
1317,Switzerland,1979,1.03
1318,Turkey,1979,1.03
1319,Ukraine,1979,-
1320,United Kingdom,1979,9.41
1321,Other Europe,1979,1.78
1322,Azerbaijan,1979,-
1323,Belarus,1979,-
1324,Kazakhstan,1979,-
1325,Russian Federation,1979,-
1326,Turkmenistan,1979,-
1327,Uzbekistan,1979,-
1328,Other CIS,1979,-
1329,Iran,1979,1.58
1330,Iraq,1979,0.31
1331,Israel,1979,0.33
1332,Kuwait,1979,0.41
1333,Oman,1979,0.07
1334,Qatar,1979,0.18
1335,Saudi Arabia,1979,1.68
1336,United Arab Emirates,1979,0.24
1337,Other Middle East,1979,0.64
1338,Algeria,1979,0.53
1339,Egypt,1979,0.67
1340,Morocco,1979,0.22
1341,South Africa,1979,2.18
1342,Eastern Africa,1979,0.69
1343,Middle Africa,1979,0.24
1344,Western Africa,1979,0.69
1345,Other Northern Africa,1979,0.41
1346,Other Southern Africa,1979,0.03
1347,Australia,1979,3.03
1348,Bangladesh,1979,0.11
1349,China,1979,17.18
1350,China Hong Kong SAR,1979,0.27
1351,India,1979,4.26
1352,Indonesia,1979,1.02
1353,Japan,1979,15.81
1354,Malaysia,1979,0.44
1355,New Zealand,1979,0.48
1356,Pakistan,1979,0.50
1357,Philippines,1979,0.54
1358,Singapore,1979,0.40
1359,South Korea,1979,1.59
1360,Sri Lanka,1979,0.08
1361,Taiwan,1979,1.07
1362,Thailand,1979,0.52
1363,Vietnam,1979,0.17
1364,Other Asia Pacific,1979,1.62
1365,Canada,1980,9.76
1366,Mexico,1980,3.26
1367,United States of America,1980,74.71
1368,Argentina,1980,1.70
1369,Brazil,1980,4.01
1370,Chile,1980,0.39
1371,Colombia,1980,0.68
1372,Ecuador,1980,0.14
1373,Peru,1980,0.39
1374,Trinidad & Tobago,1980,0.17
1375,Venezuela,1980,1.64
1376,Central America,1980,0.33
1377,Other Caribbean,1980,1.50
1378,Other South America,1980,0.29
1379,Austria,1980,1.16
1380,Belgium,1980,2.04
1381,Bulgaria,1980,1.21
1382,Croatia,1980,-
1383,Cyprus,1980,0.04
1384,Czech Republic,1980,2.24
1385,Denmark,1980,0.84
1386,Estonia,1980,-
1387,Finland,1980,0.95
1388,France,1980,8.31
1389,Germany,1980,15.26
1390,Greece,1980,0.72
1391,Hungary,1980,1.16
1392,Iceland,1980,0.06
1393,Ireland,1980,0.36
1394,Italy,1980,6.21
1395,Latvia,1980,-
1396,Lithuania,1980,-
1397,Luxembourg,1980,0.14
1398,Netherlands,1980,3.14
1399,North Macedonia,1980,-
1400,Norway,1980,1.36
1401,Poland,1980,5.38
1402,Portugal,1980,0.46
1403,Romania,1980,2.63
1404,Slovakia,1980,0.79
1405,Slovenia,1980,-
1406,Spain,1980,3.19
1407,Sweden,1980,2.31
1408,Switzerland,1980,1.11
1409,Turkey,1980,1.07
1410,Ukraine,1980,-
1411,United Kingdom,1980,8.57
1412,Other Europe,1980,1.73
1413,Azerbaijan,1980,-
1414,Belarus,1980,-
1415,Kazakhstan,1980,-
1416,Russian Federation,1980,-
1417,Turkmenistan,1980,-
1418,Uzbekistan,1980,-
1419,Other CIS,1980,-
1420,Iran,1980,1.46
1421,Iraq,1980,0.36
1422,Israel,1980,0.33
1423,Kuwait,1980,0.31
1424,Oman,1980,0.06
1425,Qatar,1980,0.19
1426,Saudi Arabia,1980,1.51
1427,United Arab Emirates,1980,0.39
1428,Other Middle East,1980,0.65
1429,Algeria,1980,0.64
1430,Egypt,1980,0.76
1431,Morocco,1980,0.22
1432,South Africa,1980,2.33
1433,Eastern Africa,1980,0.69
1434,Middle Africa,1980,0.25
1435,Western Africa,1980,0.74
1436,Other Northern Africa,1980,0.43
1437,Other Southern Africa,1980,0.04
1438,Australia,1980,3.04
1439,Bangladesh,1980,0.13
1440,China,1980,17.38
1441,China Hong Kong SAR,1980,0.28
1442,India,1980,4.39
1443,Indonesia,1980,1.10
1444,Japan,1980,15.35
1445,Malaysia,1980,0.46
1446,New Zealand,1980,0.48
1447,Pakistan,1980,0.56
1448,Philippines,1980,0.53
1449,Singapore,1980,0.40
1450,South Korea,1980,1.63
1451,Sri Lanka,1980,0.08
1452,Taiwan,1980,1.13
1453,Thailand,1980,0.52
1454,Vietnam,1980,0.19
1455,Other Asia Pacific,1980,1.72
1456,Canada,1981,9.70
1457,Mexico,1981,3.61
1458,United States of America,1981,72.50
1459,Argentina,1981,1.65
1460,Brazil,1981,3.92
1461,Chile,1981,0.40
1462,Colombia,1981,0.69
1463,Ecuador,1981,0.15
1464,Peru,1981,0.41
1465,Trinidad & Tobago,1981,0.18
1466,Venezuela,1981,1.70
1467,Central America,1981,0.33
1468,Other Caribbean,1981,1.52
1469,Other South America,1981,0.27
1470,Austria,1981,1.12
1471,Belgium,1981,1.94
1472,Bulgaria,1981,1.19
1473,Croatia,1981,-
1474,Cyprus,1981,0.04
1475,Czech Republic,1981,2.22
1476,Denmark,1981,0.75
1477,Estonia,1981,-
1478,Finland,1981,0.96
1479,France,1981,8.23
1480,Germany,1981,14.79
1481,Greece,1981,0.71
1482,Hungary,1981,1.15
1483,Iceland,1981,0.06
1484,Ireland,1981,0.35
1485,Italy,1981,6.08
1486,Latvia,1981,-
1487,Lithuania,1981,-
1488,Luxembourg,1981,0.12
1489,Netherlands,1981,2.98
1490,North Macedonia,1981,-
1491,Norway,1981,1.44
1492,Poland,1981,4.85
1493,Portugal,1981,0.46
1494,Romania,1981,2.64
1495,Slovakia,1981,0.78
1496,Slovenia,1981,-
1497,Spain,1981,3.22
1498,Sweden,1981,2.29
1499,Switzerland,1981,1.10
1500,Turkey,1981,1.08
1501,Ukraine,1981,-
1502,United Kingdom,1981,8.33
1503,Other Europe,1981,1.72
1504,Azerbaijan,1981,-
1505,Belarus,1981,-
1506,Kazakhstan,1981,-
1507,Russian Federation,1981,-
1508,Turkmenistan,1981,-
1509,Uzbekistan,1981,-
1510,Other CIS,1981,-
1511,Iran,1981,1.47
1512,Iraq,1981,0.34
1513,Israel,1981,0.34
1514,Kuwait,1981,0.39
1515,Oman,1981,0.06
1516,Qatar,1981,0.18
1517,Saudi Arabia,1981,1.80
1518,United Arab Emirates,1981,0.45
1519,Other Middle East,1981,0.69
1520,Algeria,1981,0.77
1521,Egypt,1981,0.87
1522,Morocco,1981,0.21
1523,South Africa,1981,2.71
1524,Eastern Africa,1981,0.67
1525,Middle Africa,1981,0.26
1526,Western Africa,1981,0.83
1527,Other Northern Africa,1981,0.46
1528,Other Southern Africa,1981,0.04
1529,Australia,1981,3.09
1530,Bangladesh,1981,0.13
1531,China,1981,17.15
1532,China Hong Kong SAR,1981,0.29
1533,India,1981,4.86
1534,Indonesia,1981,1.18
1535,Japan,1981,15.14
1536,Malaysia,1981,0.47
1537,New Zealand,1981,0.49
1538,Pakistan,1981,0.60
1539,Philippines,1981,0.52
1540,Singapore,1981,0.46
1541,South Korea,1981,1.71
1542,Sri Lanka,1981,0.09
1543,Taiwan,1981,1.06
1544,Thailand,1981,0.53
1545,Vietnam,1981,0.20
1546,Other Asia Pacific,1981,1.77
1547,Canada,1982,9.41
1548,Mexico,1982,3.76
1549,United States of America,1982,69.55
1550,Argentina,1982,1.68
1551,Brazil,1982,4.11
1552,Chile,1982,0.36
1553,Colombia,1982,0.73
1554,Ecuador,1982,0.17
1555,Peru,1982,0.41
1556,Trinidad & Tobago,1982,0.21
1557,Venezuela,1982,1.74
1558,Central America,1982,0.32
1559,Other Caribbean,1982,1.32
1560,Other South America,1982,0.26
1561,Austria,1982,1.08
1562,Belgium,1982,1.85
1563,Bulgaria,1982,1.22
1564,Croatia,1982,-
1565,Cyprus,1982,0.04
1566,Czech Republic,1982,2.19
1567,Denmark,1982,0.72
1568,Estonia,1982,-
1569,Finland,1982,0.95
1570,France,1982,7.92
1571,Germany,1982,14.26
1572,Greece,1982,0.72
1573,Hungary,1982,1.15
1574,Iceland,1982,0.06
1575,Ireland,1982,0.35
1576,Italy,1982,5.95
1577,Latvia,1982,-
1578,Lithuania,1982,-
1579,Luxembourg,1982,0.11
1580,Netherlands,1982,2.75
1581,North Macedonia,1982,-
1582,Norway,1982,1.42
1583,Poland,1982,4.94
1584,Portugal,1982,0.49
1585,Romania,1982,2.62
1586,Slovakia,1982,0.77
1587,Slovenia,1982,-
1588,Spain,1982,3.22
1589,Sweden,1982,2.18
1590,Switzerland,1982,1.08
1591,Turkey,1982,1.18
1592,Ukraine,1982,-
1593,United Kingdom,1982,8.23
1594,Other Europe,1982,1.79
1595,Azerbaijan,1982,-
1596,Belarus,1982,-
1597,Kazakhstan,1982,-
1598,Russian Federation,1982,-
1599,Turkmenistan,1982,-
1600,Uzbekistan,1982,-
1601,Other CIS,1982,-
1602,Iran,1982,1.66
1603,Iraq,1982,0.35
1604,Israel,1982,0.37
1605,Kuwait,1982,0.38
1606,Oman,1982,0.09
1607,Qatar,1982,0.21
1608,Saudi Arabia,1982,1.99
1609,United Arab Emirates,1982,0.49
1610,Other Middle East,1982,0.80
1611,Algeria,1982,0.89
1612,Egypt,1982,0.97
1613,Morocco,1982,0.22
1614,South Africa,1982,2.91
1615,Eastern Africa,1982,0.66
1616,Middle Africa,1982,0.26
1617,Western Africa,1982,0.86
1618,Other Northern Africa,1982,0.47
1619,Other Southern Africa,1982,0.04
1620,Australia,1982,3.06
1621,Bangladesh,1982,0.15
1622,China,1982,17.92
1623,China Hong Kong SAR,1982,0.32
1624,India,1982,4.81
1625,Indonesia,1982,1.20
1626,Japan,1982,14.56
1627,Malaysia,1982,0.50
1628,New Zealand,1982,0.50
1629,Pakistan,1982,0.66
1630,Philippines,1982,0.51
1631,Singapore,1982,0.45
1632,South Korea,1982,1.71
1633,Sri Lanka,1982,0.09
1634,Taiwan,1982,1.18
1635,Thailand,1982,0.54
1636,Vietnam,1982,0.21
1637,Other Asia Pacific,1982,1.85
1638,Canada,1983,9.36
1639,Mexico,1983,3.72
1640,United States of America,1983,69.30
1641,Argentina,1983,1.75
1642,Brazil,1983,4.20
1643,Chile,1983,0.37
1644,Colombia,1983,0.76
1645,Ecuador,1983,0.17
1646,Peru,1983,0.36
1647,Trinidad & Tobago,1983,0.21
1648,Venezuela,1983,1.73
1649,Central America,1983,0.33
1650,Other Caribbean,1983,1.28
1651,Other South America,1983,0.25
1652,Austria,1983,1.08
1653,Belgium,1983,1.80
1654,Bulgaria,1983,1.23
1655,Croatia,1983,-
1656,Cyprus,1983,0.04
1657,Czech Republic,1983,2.20
1658,Denmark,1983,0.68
1659,Estonia,1983,-
1660,Finland,1983,0.94
1661,France,1983,8.12
1662,Germany,1983,14.47
1663,Greece,1983,0.72
1664,Hungary,1983,1.13
1665,Iceland,1983,0.06
1666,Ireland,1983,0.35
1667,Italy,1983,5.83
1668,Latvia,1983,-
1669,Lithuania,1983,-
1670,Luxembourg,1983,0.11
1671,Netherlands,1983,2.77
1672,North Macedonia,1983,-
1673,Norway,1983,1.57
1674,Poland,1983,4.97
1675,Portugal,1983,0.51
1676,Romania,1983,2.60
1677,Slovakia,1983,0.78
1678,Slovenia,1983,-
1679,Spain,1983,3.29
1680,Sweden,1983,2.16
1681,Switzerland,1983,1.13
1682,Turkey,1983,1.22
1683,Ukraine,1983,-
1684,United Kingdom,1983,8.26
1685,Other Europe,1983,1.93
1686,Azerbaijan,1983,-
1687,Belarus,1983,-
1688,Kazakhstan,1983,-
1689,Russian Federation,1983,-
1690,Turkmenistan,1983,-
1691,Uzbekistan,1983,-
1692,Other CIS,1983,-
1693,Iran,1983,1.97
1694,Iraq,1983,0.41
1695,Israel,1983,0.37
1696,Kuwait,1983,0.42
1697,Oman,1983,0.08
1698,Qatar,1983,0.22
1699,Saudi Arabia,1983,2.15
1700,United Arab Emirates,1983,0.47
1701,Other Middle East,1983,0.86
1702,Algeria,1983,0.98
1703,Egypt,1983,1.05
1704,Morocco,1983,0.22
1705,South Africa,1983,2.95
1706,Eastern Africa,1983,0.69
1707,Middle Africa,1983,0.28
1708,Western Africa,1983,0.79
1709,Other Northern Africa,1983,0.50
1710,Other Southern Africa,1983,0.04
1711,Australia,1983,2.96
1712,Bangladesh,1983,0.14
1713,China,1983,19.07
1714,China Hong Kong SAR,1983,0.34
1715,India,1983,5.06
1716,Indonesia,1983,1.27
1717,Japan,1983,14.75
1718,Malaysia,1983,0.58
1719,New Zealand,1983,0.52
1720,Pakistan,1983,0.71
1721,Philippines,1983,0.55
1722,Singapore,1983,0.48
1723,South Korea,1983,1.86
1724,Sri Lanka,1983,0.09
1725,Taiwan,1983,1.31
1726,Thailand,1983,0.59
1727,Vietnam,1983,0.22
1728,Other Asia Pacific,1983,1.91
1729,Canada,1984,9.96
1730,Mexico,1984,3.89
1731,United States of America,1984,72.85
1732,Argentina,1984,1.75
1733,Brazil,1984,4.51
1734,Chile,1984,0.39
1735,Colombia,1984,0.78
1736,Ecuador,1984,0.19
1737,Peru,1984,0.38
1738,Trinidad & Tobago,1984,0.21
1739,Venezuela,1984,1.77
1740,Central America,1984,0.34
1741,Other Caribbean,1984,1.35
1742,Other South America,1984,0.25
1743,Austria,1984,1.07
1744,Belgium,1984,1.88
1745,Bulgaria,1984,1.22
1746,Croatia,1984,-
1747,Cyprus,1984,0.05
1748,Czech Republic,1984,2.27
1749,Denmark,1984,0.70
1750,Estonia,1984,-
1751,Finland,1984,0.98
1752,France,1984,8.39
1753,Germany,1984,15.00
1754,Greece,1984,0.75
1755,Hungary,1984,1.16
1756,Iceland,1984,0.07
1757,Ireland,1984,0.34
1758,Italy,1984,5.92
1759,Latvia,1984,-
1760,Lithuania,1984,-
1761,Luxembourg,1984,0.11
1762,Netherlands,1984,2.87
1763,North Macedonia,1984,-
1764,Norway,1984,1.58
1765,Poland,1984,5.16
1766,Portugal,1984,0.53
1767,Romania,1984,2.58
1768,Slovakia,1984,0.84
1769,Slovenia,1984,-
1770,Spain,1984,3.35
1771,Sweden,1984,2.29
1772,Switzerland,1984,1.09
1773,Turkey,1984,1.29
1774,Ukraine,1984,-
1775,United Kingdom,1984,8.26
1776,Other Europe,1984,2.01
1777,Azerbaijan,1984,-
1778,Belarus,1984,-
1779,Kazakhstan,1984,-
1780,Russian Federation,1984,-
1781,Turkmenistan,1984,-
1782,Uzbekistan,1984,-
1783,Other CIS,1984,-
1784,Iran,1984,2.12
1785,Iraq,1984,0.45
1786,Israel,1984,0.38
1787,Kuwait,1984,0.45
1788,Oman,1984,0.12
1789,Qatar,1984,0.25
1790,Saudi Arabia,1984,2.58
1791,United Arab Emirates,1984,0.59
1792,Other Middle East,1984,0.92
1793,Algeria,1984,0.94
1794,Egypt,1984,1.14
1795,Morocco,1984,0.23
1796,South Africa,1984,3.22
1797,Eastern Africa,1984,0.67
1798,Middle Africa,1984,0.27
1799,Western Africa,1984,0.73
1800,Other Northern Africa,1984,0.49
1801,Other Southern Africa,1984,0.04
1802,Australia,1984,3.07
1803,Bangladesh,1984,0.16
1804,China,1984,20.47
1805,China Hong Kong SAR,1984,0.35
1806,India,1984,5.40
1807,Indonesia,1984,1.40
1808,Japan,1984,16.01
1809,Malaysia,1984,0.62
1810,New Zealand,1984,0.55
1811,Pakistan,1984,0.75
1812,Philippines,1984,0.50
1813,Singapore,1984,0.50
1814,South Korea,1984,2.03
1815,Sri Lanka,1984,0.10
1816,Taiwan,1984,1.37
1817,Thailand,1984,0.66
1818,Vietnam,1984,0.22
1819,Other Asia Pacific,1984,1.98
1820,Canada,1985,10.29
1821,Mexico,1985,4.08
1822,United States of America,1985,72.66
1823,Argentina,1985,1.73
1824,Brazil,1985,4.81
1825,Chile,1985,0.40
1826,Colombia,1985,0.82
1827,Ecuador,1985,0.22
1828,Peru,1985,0.38
1829,Trinidad & Tobago,1985,0.21
1830,Venezuela,1985,1.81
1831,Central America,1985,0.35
1832,Other Caribbean,1985,1.27
1833,Other South America,1985,0.29
1834,Austria,1985,1.14
1835,Belgium,1985,1.96
1836,Bulgaria,1985,1.21
1837,Croatia,1985,-
1838,Cyprus,1985,0.05
1839,Czech Republic,1985,2.27
1840,Denmark,1985,0.78
1841,Estonia,1985,0.43
1842,Finland,1985,1.03
1843,France,1985,8.67
1844,Germany,1985,15.45
1845,Greece,1985,0.80
1846,Hungary,1985,1.20
1847,Iceland,1985,0.07
1848,Ireland,1985,0.36
1849,Italy,1985,5.90
1850,Latvia,1985,0.38
1851,Lithuania,1985,0.65
1852,Luxembourg,1985,0.12
1853,Netherlands,1985,2.96
1854,North Macedonia,1985,-
1855,Norway,1985,1.57
1856,Poland,1985,5.28
1857,Portugal,1985,0.54
1858,Romania,1985,2.57
1859,Slovakia,1985,0.86
1860,Slovenia,1985,-
1861,Spain,1985,3.32
1862,Sweden,1985,2.49
1863,Switzerland,1985,1.17
1864,Turkey,1985,1.39
1865,Ukraine,1985,10.01
1866,United Kingdom,1985,8.61
1867,Other Europe,1985,2.57
1868,Azerbaijan,1985,0.85
1869,Belarus,1985,1.47
1870,Kazakhstan,1985,2.87
1871,Russian Federation,1985,34.40
1872,Turkmenistan,1985,0.52
1873,Uzbekistan,1985,1.68
1874,Other CIS,1985,1.37
1875,Iran,1985,2.32
1876,Iraq,1985,0.52
1877,Israel,1985,0.35
1878,Kuwait,1985,0.43
1879,Oman,1985,0.12
1880,Qatar,1985,0.24
1881,Saudi Arabia,1985,2.63
1882,United Arab Emirates,1985,0.73
